code,amount,count
01100,3904088764,208028
01217,269995325,17316
01224,7476380138,387226
01231,2632766900,129859
01234,538910590,20899
01235,904128088,44662
01303,2202849500,122889
01304,228729500,5473
01202,2222260040,104180
01236,257980800,13020
01331,23730000,1080
01332,44528000,3168
01333,394380666,20556
01334,168310890,7841
01337,94942000,4157
01343,1189632666,100180
01345,2272313900,136638
01346,1777482633,106317
01347,343218800,24380
01361,250451700,13583
01362,40160000,1932
01363,42922000,2336
01364,88087300,5205
01367,64533000,2929
01370,60278600,5927
01371,215565000,9798
01203,852067410,39339
01391,23161000,1138
01392,1366905000,97339
01393,235055600,15357
01394,134181000,4749
01395,141302000,2922
01396,26080000,750
01397,255644000,2244
01398,94504500,5718
01399,54154000,3136
01400,1178009260,29980
01401,43996500,2315
01402,289902595,16627
01403,5185000,280
01404,6672000,479
01405,68957500,4012
01406,384350500,32549
01407,553513100,20410
01408,1523801578,104227
01409,279730000,11455
01209,298973049,11583
01210,187283500,7411
01215,970319700,46429
01216,278873000,11899
01218,1635633259,50706
01222,1703262500,97722
01225,1501224200,47832
01226,1517467598,50685
01227,11813400,931
01228,1607660700,88018
01423,173876000,15827
01424,122491000,2172
01425,8893000,358
01427,177586200,7808
01428,307125500,18031
01429,335523000,9511
01430,951539000,26916
01431,292326000,11130
01432,213382000,9498
01433,647787482,31581
01434,1459208000,28948
01436,594300800,16023
01437,406397000,24518
01438,1881426540,70185
01204,3699166529,174779
01220,120339900,4795
01221,259327500,24136
01229,2296084000,151326
01452,221436500,9354
01453,827733921,22947
01454,670831471,25931
01455,136472000,7197
01456,27266000,961
01457,83044500,4036
01458,2596925600,73126
01459,428646056,19141
01460,449037917,19273
01461,446902000,26860
01462,91986400,5405
01463,106368000,775
01464,40151000,1836
01465,24233200,1453
01468,45331537,1818
01469,59139100,2231
01470,23184000,1478
01471,9067000,265
01472,70431999,3351
01212,1939497375,132211
01481,498209000,30716
01482,17830000,1498
01483,40959000,1797
01484,262415600,12129
01485,2428000,95
01486,50025240,3590
01487,80645900,4275
01214,1865528000,92603
01511,510202208,10561
01512,305947830,15910
01513,19260200,2173
01514,1007774300,55185
01516,172167000,9750
01517,506711715,18320
01518,330587000,12274
01519,770271200,36572
01520,11672000,792
01208,3088832700,260234
01211,2106549700,92202
01219,13083317250,760997
01543,486269000,39392
01544,57612100,3729
01545,691384500,41538
01546,14416000,841
01547,37350000,1484
01549,49158000,3323
01550,15635000,477
01552,332635700,20876
01555,215844000,15279
01559,90413100,4687
01560,11102000,657
01561,916881700,72012
01562,18730000,357
01563,425227400,25286
01564,92558000,4432
01205,83187000,3653
01213,828269000,41586
01230,1413379920,57016
01233,398354500,17720
01571,183627500,5526
01575,142477500,6803
01578,1522452300,81393
01581,620758000,11931
01584,298698440,9719
01585,486714351,33448
01586,88799000,5084
01601,157750500,4234
01602,288460400,12810
01604,388020000,2056
01607,333042000,13483
01608,462225000,27777
01609,614086100,38351
01610,594298000,26426
01207,1138555984,71452
01631,796794700,66560
01632,514896500,33137
01633,1188689900,64861
01634,73785010,3950
01635,49391000,2488
01636,459475000,28366
01637,617845400,71924
01638,507857600,19757
01639,551225400,36468
01641,251101600,14487
01642,52051000,2793
01643,204210926,9181
01644,1190203600,83685
01645,31762800,2409
01646,118817008,9244
01647,80226000,2995
01648,10045800,631
01649,123200600,8902
01206,1937215124,98806
01661,1115635070,58839
01662,1203031818,62699
01663,1446821127,82543
01664,135975359,6525
01665,6180871793,328614
01667,144473100,9994
01668,21165354410,1333228
01223,14690953400,672865
01691,17350452000,1035913
01692,194848200,10138
01693,186920500,10370
01694,524792400,30293
